stop_id,total_trips,stop_name,stop_lat,stop_lon,nearest_poi_name,nearest_poi_type,nearest_poi_distance_m
8897,5,Akurdi Khandoba Maal,18.650801,73.786301,PCMC-Akurdi Hospital,hospital,465.1
6420,5,Ruston Colony,18.6364,73.777397,Om Shree Swami Samarth Hospital,hospital,279.6
6794,5,Sant Nagar,18.646799,73.845497,Patil Eye Hospital,hospital,478.6
5323,5,Bhaji Market  Market Yard,18.489401,73.863899,G B Indumati Manilal Khanna Hospital,hospital,452.3
6437,5,Bijli Nagar Morya Nagari,18.642599,73.772797,parmar Tailer,marketplace,115.9
2850,5,Chatrapati Sambhaji High School,18.6502,74.057198,Dr Sonawane Hospital,hospital,376.2
6415,5,Akurdi Railway Station Magil Baju,18.6479090999768,73.7638954831398,Dr D Y Patil College of Agricultural Business Management,college,364.3
6440,5,Akurdi Railway Station Magil Baju,18.6480012559376,73.7637023824992,Dr D Y Patil College of Agricultural Business Management,college,344.7
6438,5,Bijlinagar,18.644160590537,73.7690883213161,Paras Polyclinic and General Hospital,hospital,210.5
6433,5,Chaphekar Chowk Vetal Nagar,18.6308256460939,73.7809295148092,Chaitanya Hospital,hospital,140.7
6334,5,Waghere Heights,18.609501,73.802299,Amrut Hospital,hospital,71.9
6333,5,Nanekarpark,18.606701,73.801399,Amrut Hospital,hospital,347.7
6323,5,Nanekarpark,18.606501,73.801498,Amrut Hospital,hospital,368.9
6322,5,Waghere Heights,18.609501,73.802498,Amrut Hospital,hospital,90.6
6422,5,Chaphekar Chowk Vetal Nagar,18.6308866331771,73.781077716719,Chaitanya Hospital,hospital,151.2
6421,5,Chaitanya Sabhagruh,18.633699,73.779602,Om Shree Swami Samarth Hospital,hospital,102.5
6436,5,Power House Chinchwade Nagar,18.6411,73.773598,parmar Tailer,marketplace,280.8
6435,5,Ruston Colony,18.6364,73.777298,Om Shree Swami Samarth Hospital,hospital,286.7
742,5,Hanuman Mandir Sapras Road,18.5543,73.872398,Unknown,hospital,492.6
6434,5,Chaitanya Sabhagruh,18.633699,73.779404,Om Shree Swami Samarth Hospital,hospital,95.3
6419,5,Power House Chinchwade Nagar,18.641199,73.773804,"Ashwini Hospital, Pune",hospital,277.6
6418,5,Bijli Nagar Morya Nagari,18.6429,73.772797,"Ashwini Hospital, Pune",hospital,92.9
6417,5,Bijlinagar,18.6442787324639,73.7691748034908,Paras Polyclinic and General Hospital,hospital,205.6
6416,5,Guruvdara Bijlinagar,18.645599,73.766899,Paras Polyclinic and General Hospital,hospital,484.2
263,5,Lic Colony,18.562095989414,73.8364791531354,Shewale Hospital,hospital,421.3
262,5,40 Aundh Road,18.5624886389291,73.8324951266751,Shewale Hospital,hospital,19.9
1002,5,Hotel Rajwada,18.6409,73.756302,Ojas Multispeciality Hospital,hospital,315.4
106811,5,Rangehills Corner,18.538632662383,73.8341331920679,Unknown,university,111.6
106810,5,Yashwant Nagar Rangehills,18.5407687924022,73.8363111391086,Unknown,university,440.1
306,5,40 Aundh Road,18.5623917333754,73.8325714420287,Shewale Hospital,hospital,30.5
305,5,Lic Colony,18.5620216146652,73.8363483673664,Shewale Hospital,hospital,409.0
303,5,Balbhavan,18.5608689602682,73.8413200113754,Ordnance Factory Hospital,hospital,330.5
338,5,Kanchanban Society,18.5124039159898,73.8063701912627,Kulkarni Endo Surgery Institute and Reconstructive Urology Centre,hospital,459.9
1017,5,Hotel Rajwada,18.641001,73.7565,Ojas Multispeciality Hospital,hospital,318.8
